country_code,country_name,region_name,sub_region_name,intermediate_region_name
4,Afghanistan,Asia,Southern Asia,NA
8,Albania,Europe,Southern Europe,NA
12,Algeria,Africa,Northern Africa,NA
16,American Samoa,Oceania,Polynesia,NA
20,Andorra,Europe,Southern Europe,NA
24,Angola,Africa,Sub-Saharan Africa,Middle Africa
28,Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean
31,Azerbaijan,Asia,Western Asia,NA
32,Argentina,Americas,Latin America and the Caribbean,South America
36,Australia,Oceania,Australia and New Zealand,NA
40,Austria,Europe,Western Europe,NA
44,Bahamas,Americas,Latin America and the Caribbean,Caribbean
48,Bahrain,Asia,Western Asia,NA
50,Bangladesh,Asia,Southern Asia,NA
51,Armenia,Asia,Western Asia,NA
52,Barbados,Americas,Latin America and the Caribbean,Caribbean
56,Belgium,Europe,Western Europe,NA
60,Bermuda,Americas,Northern America,NA
64,Bhutan,Asia,Southern Asia,NA
68,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,South America
70,Bosnia Herzegovina,Europe,Southern Europe,NA
72,Botswana,Africa,Sub-Saharan Africa,Southern Africa
76,Brazil,Americas,Latin America and the Caribbean,South America
84,Belize,Americas,Latin America and the Caribbean,Central America
86,Br. Indian Ocean Terr.,Africa,Sub-Saharan Africa,Eastern Africa
90,Solomon Isds,Oceania,Melanesia,NA
92,Br. Virgin Isds,Americas,Latin America and the Caribbean,Caribbean
96,Brunei Darussalam,Asia,South-eastern Asia,NA
100,Bulgaria,Europe,Eastern Europe,NA
104,Myanmar,Asia,South-eastern Asia,NA
108,Burundi,Africa,Sub-Saharan Africa,Eastern Africa
112,Belarus,Europe,Eastern Europe,NA
116,Cambodia,Asia,South-eastern Asia,NA
120,Cameroon,Africa,Sub-Saharan Africa,Middle Africa
124,Canada,Americas,Northern America,NA
132,Cabo Verde,Africa,Sub-Saharan Africa,Western Africa
136,Cayman Isds,Americas,Latin America and the Caribbean,Caribbean
140,Central African Rep.,Africa,Sub-Saharan Africa,Middle Africa
144,Sri Lanka,Asia,Southern Asia,NA
148,Chad,Africa,Sub-Saharan Africa,Middle Africa
152,Chile,Americas,Latin America and the Caribbean,South America
156,China,Asia,Eastern Asia,NA
162,Christmas Isds,Oceania,Australia and New Zealand,NA
166,Cocos Isds,Oceania,Australia and New Zealand,NA
170,Colombia,Americas,Latin America and the Caribbean,South America
174,Comoros,Africa,Sub-Saharan Africa,Eastern Africa
175,Mayotte (Overseas France),Africa,Sub-Saharan Africa,Eastern Africa
178,Congo,Africa,Sub-Saharan Africa,Middle Africa
180,Dem. Rep. of the Congo,Africa,Sub-Saharan Africa,Middle Africa
184,Cook Isds,Oceania,Polynesia,NA
188,Costa Rica,Americas,Latin America and the Caribbean,Central America
191,Croatia,Europe,Southern Europe,NA
192,Cuba,Americas,Latin America and the Caribbean,Caribbean
196,Cyprus,Asia,Western Asia,NA
203,Czechia,Europe,Eastern Europe,NA
204,Benin,Africa,Sub-Saharan Africa,Western Africa
208,Denmark,Europe,Northern Europe,NA
212,Dominica,Americas,Latin America and the Caribbean,Caribbean
214,Dominican Rep.,Americas,Latin America and the Caribbean,Caribbean
218,Ecuador,Americas,Latin America and the Caribbean,South America
222,El Salvador,Americas,Latin America and the Caribbean,Central America
226,Equatorial Guinea,Africa,Sub-Saharan Africa,Middle Africa
231,Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa
232,Eritrea,Africa,Sub-Saharan Africa,Eastern Africa
233,Estonia,Europe,Northern Europe,NA
238,Falkland Isds (Malvinas),Americas,Latin America and the Caribbean,South America
242,Fiji,Oceania,Melanesia,NA
246,Finland,Europe,Northern Europe,NA
258,French Polynesia,Oceania,Polynesia,NA
260,Fr. South Antarctic Terr.,Africa,Sub-Saharan Africa,Eastern Africa
262,Djibouti,Africa,Sub-Saharan Africa,Eastern Africa
266,Gabon,Africa,Sub-Saharan Africa,Middle Africa
268,Georgia,Asia,Western Asia,NA
270,Gambia,Africa,Sub-Saharan Africa,Western Africa
275,State of Palestine,Asia,Western Asia,NA
276,Germany,Europe,Western Europe,NA
288,Ghana,Africa,Sub-Saharan Africa,Western Africa
292,Gibraltar,Europe,Southern Europe,NA
296,Kiribati,Oceania,Micronesia,NA
300,Greece,Europe,Southern Europe,NA
304,Greenland,Americas,Northern America,NA
308,Grenada,Americas,Latin America and the Caribbean,Caribbean
316,Guam,Oceania,Micronesia,NA
320,Guatemala,Americas,Latin America and the Caribbean,Central America
324,Guinea,Africa,Sub-Saharan Africa,Western Africa
328,Guyana,Americas,Latin America and the Caribbean,South America
